"Cidade","População"
"Triunfo","15254"
"Campestre","6936"
"Capela","51266"
"Ibateguara","15616"
"Maragogi","32704"
"Maravilha","9163"
"Maribondo","13264"
"Olivença","11624"
"Porto Calvo","27165"
"São Miguel dos Campos","61251"
"São Sebastião","34152"
"Amparo de São Francisco","2374"
"Boquim","26816"
"Carmópolis","16634"
"Itabaianinha","41928"
"Itaporanga d'Ajuda","34356"
"Santo Amaro das Brotas","12102"
"São Domingos","20195"
"Abaíra","8739"
"Buerarema","18349"
"Candeias","87076"
"Curaçá","34700"
"Floresta Azul","10629"
"Irará","29034"
"Itajuípe","20491"
"Itaparica","22228"
"Itapetinga","76147"
"Licínio de Almeida","12388"
"Livramento de Nossa Senhora","45732"
"Nilo Peçanha","13997"
"Pilão Arcado","35048"
"Retirolândia","14396"
"Teixeira de Freitas","160487"
"Tucano","50687"
"Uruçuca","20519"
"Valente","28473"
"Alto Alegre do Pindaré","31919"
"Amarante do Maranhão","41435"
"Apicum-Açu","17239"
"Arame","32701"
"Barão de Grajaú","18820"
"Bequimão","21280"
"Buritirana","15430"
"Coroatá","65296"
"Governador Newton Bello","10180"
"Igarapé do Meio","14177"
"Itapecuru Mirim","68203"
"Miranda do Norte","28381"
"Olho d'Água das Cunhãs","19505"
"Paulino Neves","16035"
"Penalva","38470"
"São Bernardo","28507"
"São João dos Patos","25929"
"Satubinha","13914"
"Serrano do Maranhão","10253"
"Sítio Novo","18081"
"Viana","52441"
"Vila Nova dos Martírios","13392"
"Zé Doca","51714"
"Anísio de Abreu","9880"
"Boa Hora","6781"
"Castelo do Piauí","19716"
"Cocal","27787"
"Floriano","59935"
"Miguel Alves","33760"
"Monsenhor Gil","10564"
"Nazária","8570"
"Pimenteiras","12127"
"Piracuruca","28791"
"Queimada Nova","8992"
"São João do Piauí","20601"
"São Raimundo Nonato","34710"
"Amontada","43452"
"Aracoiaba","26469"
"Beberibe","53573"
"Brejo Santo","49477"
"Capistrano","17738"
"Caririaçu","26965"
"Cascavel","71743"
"Catarina","20698"
"Catunda","10342"
"Caucaia","361400"
"Ererê","7198"
"Farias Brito","19450"
"Granja","54748"
"Groaíras","11068"
"Ibiapina","24997"
"Iracema","14297"
"Itaiçaba","7827"
"Itaitinga","37980"
"Itapipoca","129358"
"Jaguaribe","34682"
"Maracanaú","227886"
"Mauriti","47962"
"Pacajus","72203"
"Paracuru","35076"
"Paraipaba","32744"
"Salitre","16554"
"São Benedito","47903"
"Senador Pompeu","25496"
"Tamboril","26251"
"Augusto Severo (Campo Grande)","9655"
"Baía Formosa","9271"
"Caraúbas","20493"
"Goianinha","26328"
"João Câmara","34955"
"Lajes","11277"
"Macau","31814"
"Mossoró","297378"
"Pendências","15129"
"Riacho da Cruz","3579"
"São Miguel","23519"
"São Rafael","8202"
"Senador Georgino Avelino","4440"
"Tenente Ananias","10786"
"Alagoa Grande","28496"
"Boqueirão","17804"
"Capim","6523"
"Conde","50507"
"Itaporanga","24692"
"Juripiranga","10756"
"Mari","21837"
"Serra Redonda","7041"
"Sobrado","7783"
"Araripina","84418"
"Buíque","58378"
"Caetés","28739"
"Canhotinho","24804"
"Granito","7486"
"Gravatá","84074"
"Igarassu","117019"
"Jupi","14836"
"Jurema","15378"
"Moreno","62784"
"Recife","1645727"
"Terra Nova","10096"
"Vertentes","20731"
"Arapiraca","231747"
"Igaci","25631"
"Lagoa da Canoa","17852"
"Novo Lino","12690"
"Rio Largo","75120"
"Santana do Ipanema","47654"
"São José da Laje","23927"
"Cristinápolis","17874"
"Simão Dias","40484"
"Tobias Barreto","52191"
"Tomar do Geru","13536"
"Alagoinhas","151596"
"Araci","54379"
"Barra do Rocha","5714"
"Barrocas","15978"
"Capela do Alto Alegre","11637"
"Coaraci","16993"
"Conceição do Jacuípe","33153"
"Cristópolis","13910"
"Dário Meira","10710"
"Gandu","32403"
"Governador Mangabeira","20722"
"Inhambupe","39926"
"Itabela","30584"
"Itaberaba","64489"
"Itatim","14487"
"Madre de Deus","21093"
"Maracás","20834"
"Mucugê","9062"
"Ponto Novo","14914"
"Porto Seguro","148686"
"Santo Amaro","60069"
"São Gonçalo dos Campos","37550"
"Seabra","44091"
"Simões Filho","134377"
